id,nation1,nation2,nation3,region1,region2,region3
Prussia (now Poland),Poland,Prussia,,Europe,,Europe
Prussia (now Russia),Russia,Prussia,,Europe,,Europe
Puerto Rico,Puerto Rico,,,North America,,America
Romania,Romania,,,Europe,,Europe
Russia,Russia,,,Europe,,Europe
"Russia, Soviet Union",Russia,,,Europe,,Europe
Russian Empire (now Azerbaijan),Azerbaijan,Russian Empire,,Europe,,Europe
Russian Empire (now Belarus),Belarus,Russian Empire,,Europe,,Europe
Russian Empire (now Finland),Finland,Russian Empire,,Europe,,Europe
Russian Empire (now Latvia),Latvia,Russian Empire,,Europe,,Europe
Russian Empire (now Lithuania),Lithuania,Russian Empire,,Europe,,Europe
Russian Empire (now Poland),Poland,Russian Empire,,Europe,,Europe
Russian Empire (now Russia),Russia,Russian Empire,,Europe,,Europe
Russian Empire (now Ukraine),Ukraine,Russian Empire,,Europe,,Europe
Saint Lucia,Saint Lucia,,,North America,,America
Schleswig (now Germany),Germany,Schleswig,,Europe,,Europe
Scotland,Scotland,,,Europe,,Europe
South Africa,South Africa,,,Southern Africa,,Africa
South Korea,South Korea,,,East Asia,,Asia
Southern Rhodesia,Zimbabwe,Southern Rhodesia,,Southern Africa,,Africa
Southern Rhodesia (now Zimbabwe),Zimbabwe,Southern Rhodesia,,Southern Africa,,Africa
Spain,Spain,,,Europe,,Europe
Sweden,Sweden,,,Europe,,Europe
Switzerland,Switzerland,,,Europe,,Europe
Taiwan,Taiwan,,,East Asia,,Asia
Tibet (now People's Republic of China),People's Republic of China,Tibet,,East Asia,,Asia
Trinidad,Trinidad,,,North America,,America
Tunisia,Tunisia,,,North Africa,,Africa
Turkey,Turkey,,,Middle East,Europe,Asia
Tuscany (now Italy),Italy,Tuscany,,Europe,,Europe
USA,USA,,,North America,,America
USSR,USSR,,,Europe,,Europe
USSR (now Belarus),Belarus,USSR,,Europe,,Europe
USSR (now Russia),Russia,USSR,,Europe,,Europe
Union of South Africa,Union of South Africa,,,Southern Africa,,Africa
United Kingdom,United Kingdom,,,Europe,,Europe
Venezuela,Venezuela,,,South America,,America
Vietnam,Vietnam,,,Southeast Asia,,Asia
Württemberg,Germany,,,Europe,,Europe
West Germany (now Germany),Germany,West Germany,,Europe,,Europe
Yemen,Yemen,,,Middle East,,Asia
Yugoslavia,Yugoslavia,,,Europe,,Europe
Yugoslavia (now Serbia),Serbia,Yugoslavia,,Europe,,Europe
the Netherlands,the Netherlands,,,Europe,,Europe
